"","title","male_vs_female","male_rating","genre","popular","budget","young","critics","reviews","male_vote_prop","male_votes","duration","year","male_gt_female","total_votes","comedy","drama"
"1394","Jade",0.0999999999999996,5.3,"Crime",10736,5e+07,0.0322029442691903,53,75,0.67807486631016,7608,95,1995,1,11220,"no","no"
"1397","Dredd - La legge sono io",0,5.6,"Action",108134,9e+07,0.093884635269209,119,267,0.747923916846195,81238,96,1995,0,108618,"no","no"
"1401","Kids",0.0999999999999996,7.1,"Drama",71245,1500000,0.141992259292093,77,425,0.644774080218601,46249,91,1995,1,71729,"no","no"
"1403","Il bacio della morte",0.100000000000001,5.9,"Crime",16194,4e+07,0.0529446259529195,37,60,0.715733301355079,11937,101,1995,1,16678,"no","no"
"1413","La piccola principessa",-0.7,7.3,"Drama",31034,1.7e+07,0.185344827586207,30,125,0.353321911288787,11136,97,1995,0,31518,"no","no"
"1416","Si gira a Manhattan",-0.0999999999999996,7.5,"Comedy",15591,5e+05,0.130442960594376,46,78,0.661461897356143,10633,90,1995,0,16075,"no","no"
"1417","Lontano da Isaiah",-0.7,6.2,"Drama",4933,1.7e+07,0.068742418115649,15,41,0.456525752261399,2473,111,1995,0,5417,"no","no"
"1421","Generazione X",0,7.1,"Comedy",114029,6e+06,0.11429551867009,98,445,0.687101027830901,78682,94,1995,0,114513,"no","no"
"1426","La dea dell'amore",0,7,"Comedy",36933,1.5e+07,0.0953532994076917,55,96,0.64072480423337,23974,95,1995,0,37417,"no","no"
"1429","Mommy",0.7,5,"Horror",-146,7e+05,0.0829268292682927,11,16,0.606508875739645,205,89,1995,1,338,"no","no"
"1430","Money Train",0.100000000000001,5.7,"Action",37819,6.8e+07,0.0642100774642883,44,73,0.734720517975093,28142,110,1995,1,38303,"no","no"
"1431","Mortal Kombat",-0.100000000000001,5.8,"Action",99368,1.8e+07,0.147958153249586,92,336,0.743810840043264,74271,101,1995,0,99852,"no","no"
"1433","Goodbye Mr. Holland",-0.2,7.2,"Drama",34488,2.3e+07,0.0656070509011685,43,173,0.577490563879675,20196,143,1995,0,34972,"no","no"
"1438","The Net - Intrappolata nella rete",-0.5,5.8,"Action",58868,2.2e+07,0.0562299229610257,60,187,0.592684324032889,35177,114,1995,0,59352,"no","no"
"1440","Minuti contati",0,6.3,"Action",37935,3.3e+07,0.0993875621686054,38,142,0.633254379343554,24329,90,1995,0,38419,"no","no"
"1448","Nothing to Lose",-1.4,5.4,"Drama",-118,2e+05,0.0384615384615385,10,14,0.497267759562842,182,108,1995,0,366,"no","no"
"1457","Virus letale",-0.100000000000001,6.6,"Action",116880,5e+07,0.0815324912494293,76,211,0.671858491530623,78852,127,1995,0,117364,"no","no"
"1461","Party Girl",-0.399999999999999,6.4,"Comedy",3957,150000,0.0445772058823529,29,37,0.489979734294078,2176,94,1995,0,4441,"no","no"
"1463","Alibi perfetto",-0.5,5.2,"Crime",-224,4500000,0.027027027027027,1,5,0.569230769230769,148,98,1995,0,260,"no","no"
"1468","Powder - Un incontro straordinario con un altro essere",-0.5,6.5,"Drama",27632,9500000,0.0608771929824561,36,168,0.608194622279129,17100,111,1995,0,28116,"no","no"
"1471","L'ultima profezia",-0.2,6.5,"Action",28027,8e+06,0.0558729493160019,64,201,0.669180316369121,19079,98,1995,0,28511,"no","no"
"1478","Rumpelstiltskin",0.0999999999999996,4.5,"Comedy",1697,3e+06,0.101876675603217,21,46,0.684089867033471,1492,87,1995,1,2181,"no","no"
"1482","La lettera scarlatta",-0.800000000000001,5.1,"Drama",13701,4.6e+07,0.0444059976931949,37,100,0.488967218893197,6936,135,1995,0,14185,"no","no"
"1484","Seven",0.0999999999999996,8.6,"Crime",1401531,3.3e+07,0.267217994672937,229,1490,0.610286623181635,855631,127,1995,1,1402015,"no","no"
"1485","Cerca e distruggi",-0.4,5.3,"Action",717,4e+06,0.023407022106632,6,23,0.64029975020816,769,90,1995,0,1201,"no","no"
"1496","Specie mortale",0.0999999999999996,5.8,"Action",72375,3.5e+07,0.0815092606765651,125,161,0.717330734706762,52264,108,1995,1,72859,"no","no"
"1497","Nel Texas cadevano le stelle",0.199999999999999,6.6,"Drama",225,1.3e+07,0.0253456221198157,12,14,0.61212976022567,434,109,1995,1,709,"no","no"
"1498","Il gemello scomodo",-1.2,4.6,"Comedy",415,3.5e+07,0.0186915887850467,13,12,0.595105672969967,535,135,1995,0,899,"no","no"
"1500","Strange Days",-0.100000000000001,7.1,"Action",65527,4.2e+07,0.0716073781291173,107,255,0.689885019163473,45540,145,1995,0,66011,"no","no"
"1502","A rischio della vita",0.0999999999999996,5.8,"Action",31036,3.5e+07,0.0657042689214271,67,123,0.769194162436548,24245,111,1995,1,31520,"no","no"
"1504","Il prezzo di Hollywood",0,7.1,"Comedy",21108,7e+05,0.0904473665901343,40,156,0.665663208595776,14373,93,1994,0,21592,"no","no"
"1505","Il cavaliere del male",-0.2,6.7,"Action",20365,1.3e+07,0.0674089068825911,78,122,0.71082545925464,14820,92,1995,0,20849,"no","no"
"1506","Tales from the Hood",-0.3,6.3,"Crime",6162,6e+06,0.0903776978417266,37,62,0.669274751730364,4448,98,1995,0,6646,"no","no"
"1508","T-Rex - Il mio amico Dino",-1.2,2.3,"Action",3520,33500000,0.154810173239956,27,44,0.677572427572428,2713,92,1995,0,4004,"no","no"
"1509","Cosa fare a Denver quando sei morto",0.2,6.8,"Crime",25247,7e+06,0.0444136401441641,45,153,0.700905522521472,18035,115,1995,1,25731,"no","no"
"1510","Tre desideri",-0.5,6,"Drama",2262,1e+07,0.0465434633812457,15,32,0.532046613255645,1461,115,1995,0,2746,"no","no"
"1516","Tromeo & Juliet",0.0999999999999996,6.1,"Action",5173,350000,0.10833982852689,50,63,0.680395969595192,3849,107,1996,1,5657,"no","no"
"1520","Trappola sulle Montagne Rocciose",0,5.5,"Action",42613,6e+07,0.0738290307620962,63,140,0.750516277235074,32345,100,1995,0,43097,"no","no"
"1522","Underneath",0.3,6.1,"Crime",2625,6500000,0.0677808727948004,31,36,0.692827275651335,2154,99,1995,1,3109,"no","no"
"1527","Villaggio dei dannati",-0.2,5.6,"Horror",27672,2.2e+07,0.0911179572868258,96,130,0.680174740730217,19151,98,1995,0,28156,"no","no"
"1532","Waterworld",0.2,6.3,"Action",176680,1.75e+08,0.11445468916761,129,383,0.703399110428755,124617,135,1995,1,177164,"no","no"
"1533","Fuga dalla scuola media",-0.2,7.3,"Comedy",30849,8e+05,0.110405270278219,79,180,0.542590878626368,17001,88,1995,0,31333,"no","no"
"1534","Un amore tutto suo",-0.699999999999999,6.4,"Comedy",89145,1.7e+07,0.0910403019873432,71,218,0.401968112999141,36028,103,1995,0,89629,"no","no"
"1536","Wild Bill",-0.0999999999999996,5.9,"Action",5883,3e+07,0.039236479321315,34,62,0.740537144652112,4715,98,1995,0,6367,"no","no"
"1547","Barb Wire",0.2,3.3,"Action",24213,9e+06,0.0520958426259507,89,106,0.708061707899745,17487,98,1996,1,24697,"no","no"
"1551","Prima e dopo",-0.3,6,"Crime",7565,3.5e+07,0.0647938377888536,42,53,0.548391104485029,4414,108,1996,0,8049,"no","no"
"1553","Il grande bullo",-0.399999999999999,4.7,"Comedy",3969,1.5e+07,0.0766271240782302,7,28,0.700426678643611,3119,90,1996,0,4453,"no","no"
"1554","Big Night",0,7.2,"Drama",16799,4100000,0.0936474222822939,56,103,0.599317248162935,10358,109,1996,0,17283,"no","no"
"1556","Tonto + tonto",-0.6,4.4,"Comedy",25186,1.5e+07,0.0749813550570822,29,150,0.679041682898325,17431,88,1996,0,25670,"no","no"
"1557","Piume di struzzo",-0.5,7,"Comedy",77652,3.1e+07,0.0944418925126321,78,203,0.557233541517354,43540,117,1996,0,78136,"no","no"
"1565","Bogus - L'amico immaginario",-0.7,5.1,"Comedy",5606,3e+07,0.101246579507449,19,37,0.540065681444992,3289,110,1996,0,6090,"no","no"
"1567","Un colpo da dilettanti",0.0999999999999996,7,"Comedy",68044,7e+06,0.201305071011217,90,200,0.684304226009806,46894,91,1996,1,68528,"no","no"
"1568","Bound - Torbido inganno",-0.100000000000001,7.3,"Crime",49107,4500000,0.0799821553756931,133,224,0.632816438466657,31382,109,1996,0,49591,"no","no"
"1571","Breathing Room",-0.9,5.3,"Comedy",-349,5e+05,0.0632911392405063,9,1,0.585185185185185,79,90,1996,0,135,"no","no"
"1572","Nome in codice: Broken Arrow",-0.0999999999999996,6,"Action",88950,5e+07,0.0681842784900175,88,218,0.723024800411477,64663,108,1996,0,89434,"no","no"
"1575","Bulletproof",-0.2,5.8,"Action",34140,2.5e+07,0.123932287622302,34,66,0.74387707948244,25756,84,1996,0,34624,"no","no"
"1576","Il rompiscatole",0.3,6.1,"Comedy",149503,4.7e+07,0.171088464832511,69,393,0.692840046137332,103917,96,1996,1,149987,"no","no"
"1582","A spasso col rapinatore",-0.899999999999999,4.9,"Comedy",3945,1.7e+07,0.0834752981260647,15,34,0.662677805373673,2935,89,1996,0,4429,"no","no"
"1586","Reazione a catena",-0.2,5.6,"Action",46778,5e+07,0.0606423060821721,52,102,0.707587491007575,33442,107,1996,0,47262,"no","no"
"1590","Cambio vita",0,5.7,"Comedy",-157,1200000,0.0446927374301676,1,5,0.547400611620795,179,95,1997,0,327,"no","no"
"1591","Childhood's End",0.300000000000001,5.4,"Comedy",-295,6e+05,0.094017094017094,4,5,0.619047619047619,117,115,1996,1,189,"no","no"
"1592","City Hall",-0.0999999999999996,6.2,"Drama",18843,4e+07,0.0519831730769231,52,67,0.688777358100067,13312,111,1996,0,19327,"no","no"
"1594","Commandments",-0.5,5.4,"Comedy",1043,6e+06,0.0320733104238259,21,20,0.571709233791749,873,88,1997,0,1527,"no","no"
"1596","Il coraggio della verità",-0.100000000000001,6.6,"Action",48846,4.6e+07,0.0738070507728967,70,115,0.663571862963714,32734,116,1996,0,49330,"no","no"
"1598","Giovani streghe",-0.7,6.1,"Drama",73780,1.5e+07,0.0914557754948634,121,228,0.48366637940321,35919,101,1996,0,74264,"no","no"
"1600","Il corvo 2",-0.7,4.6,"Action",18413,1.3e+07,0.0747380484610347,60,169,0.646451817748849,12216,84,1996,0,18897,"no","no"
"1601","La seduzione del male",0,6.8,"Drama",34129,2.5e+07,0.174485069478664,67,133,0.586311501458989,20294,124,1996,0,34613,"no","no"
"1602","Curdled - Una commedia pulp",-0.600000000000001,5.8,"Comedy",4357,2300000,0.0761874402295186,15,36,0.648006610204503,3137,88,1996,0,4841,"no","no"
"1609","Daylight - Trappola nel tunnel",-0.199999999999999,5.9,"Action",64673,8e+07,0.0822655918540518,71,112,0.723483278849548,47140,114,1996,0,65157,"no","no"
"1616","The Dentist",0.2,5.3,"Horror",7692,7e+05,0.0918871252204586,57,85,0.693493150684932,5670,92,1996,1,8176,"no","no"
"1619","Un ragazzo veramente speciale",0.199999999999999,6.6,"Comedy",46616,3800000,0.1969007179128,33,128,0.727515923566879,34266,89,1996,1,47100,"no","no"
"1621","Dragonheart",-0.5,6.4,"Action",89465,5.7e+07,0.138808933002481,74,159,0.672047493579695,60450,103,1996,0,89949,"no","no"
"1624","Drive",0,6.8,"Action",4856,3500000,0.0640958832725378,53,112,0.7187265917603,3838,100,1997,0,5340,"no","no"
"1626","Ed - Un campione per amico",-0.4,2.6,"Comedy",7579,2.4e+07,0.135652173913043,17,46,0.713134069205011,5750,94,1996,0,8063,"no","no"
"1631","L'eliminatore - Eraser",0,6.1,"Action",101493,1e+08,0.0790543186206338,78,149,0.72627161026506,74063,115,1996,0,101977,"no","no"
"1632","Fuga da Los Angeles",-0.2,5.7,"Action",67966,5e+07,0.0842733252997768,131,251,0.739532505478451,50621,101,1996,0,68450,"no","no"
"1636","Decisione critica",-0.0999999999999996,6.4,"Action",49288,5.5e+07,0.0689202035452665,68,169,0.71859680141445,35766,133,1996,0,49772,"no","no"
"1642","The Fan - Il mito",0,5.9,"Action",44971,5.5e+07,0.0568522386704205,58,102,0.726718732812672,33033,116,1996,0,45455,"no","no"
"1647","Il club delle prime mogli",-1,5.9,"Comedy",41797,2.6e+07,0.0753750677833343,44,134,0.392540384569901,16597,103,1996,0,42281,"no","no"
"1650","Amori e disastri",0.3,6.7,"Comedy",16974,7e+06,0.0826655052264808,55,107,0.657578187650361,11480,92,1996,1,17458,"no","no"
"1656","Fratelli",0,6.6,"Crime",7627,12500000,0.0552677029360967,53,50,0.713845395142399,5790,99,1996,0,8111,"no","no"
"1657","Bus in viaggio",-0.5,6.7,"Drama",4545,2400000,0.060376213592233,34,43,0.655398687611851,3296,120,1996,0,5029,"no","no"
"1659","Girl 6 - Sesso in linea",-0.6,5,"Comedy",5321,1.2e+07,0.042358803986711,33,30,0.622222222222222,3612,108,1996,0,5805,"no","no"
"1665","La grazia nel cuore",-0.6,6.5,"Comedy",3044,5e+06,0.0282235749861649,32,45,0.51218820861678,1807,116,1996,0,3528,"no","no"
"1669","Un tipo imprevedibile",0.4,7,"Comedy",191977,1.2e+07,0.236687523454313,72,323,0.678438748629593,130573,92,1996,1,192461,"no","no"
"1681","Appuntamento col ponte",-0.4,4.8,"Comedy",3287,5e+06,0.0383162439287642,27,45,0.49138159639353,1853,92,1996,0,3771,"no","no"
"1683","Independence Day",-0.0999999999999996,7,"Action",519771,7.5e+07,0.18580934596729,201,946,0.664954685682982,345946,145,1996,0,520255,"no","no"
"1685","L'isola perduta",-0.2,4.5,"Horror",30093,4e+07,0.0462736053048868,64,181,0.680609608529287,20811,96,1996,0,30577,"no","no"
"1687","Jack",-0.6,5.7,"Comedy",54795,4.5e+07,0.137988048964437,38,82,0.623636462309376,34474,113,1996,0,55279,"no","no"
"1689","Jerry Maguire",0.2,7.3,"Comedy",237914,5e+07,0.152519377241648,123,367,0.624527051401438,148886,139,1996,1,238398,"no","no"
"1691","A casa di Joe",-0.0999999999999996,5.4,"Comedy",11927,1.3e+07,0.0893312295181454,15,61,0.663846587704456,8239,80,1996,0,12411,"no","no"
"1694","Il giurato",-0.300000000000001,5.6,"Crime",16362,4.4e+07,0.0389622914456553,30,63,0.615517036685267,10369,118,1996,0,16846,"no","no"
"1695","Kazaam - Il gigante rap",-0.8,2.9,"Comedy",22321,2e+07,0.132652433396911,22,107,0.712694584520938,16253,93,1996,0,22805,"no","no"
"1697","Kingpin",0.5,6.9,"Comedy",75375,2.7e+07,0.0784118116520351,67,212,0.726769401125773,55132,114,1996,1,75859,"no","no"
"1699","Per amore di Vera",-0.300000000000001,5.6,"Comedy",6226,3e+07,0.0736938170203057,33,39,0.653204172876304,4383,93,1996,0,6710,"no","no"
"1702","Ancora vivo",0.300000000000001,6.4,"Action",52067,6.7e+07,0.0599528207187312,67,166,0.758272915834142,39848,101,1996,1,52551,"no","no"
"1705","Stella solitaria",-0.100000000000001,7.3,"Drama",27056,5e+06,0.0738729566151932,65,189,0.641938997821351,17679,135,1996,0,27540,"no","no"
"1706","Spy",-0.3,6.7,"Action",71013,6.5e+07,0.0624503283557117,108,309,0.668755332391569,47814,121,1996,0,71497,"no","no"
"1714","Manny & Lo",-0.3,6.5,"Comedy",1326,5e+05,0.0738461538461539,19,13,0.538674033149171,975,88,1996,0,1810,"no","no"
"1715","Mars Attacks!",0,6.3,"Comedy",206051,7e+07,0.148483266631866,141,448,0.667819013726487,137928,106,1996,0,206535,"no","no"
"1720","Matilda 6 mitica",-0.6,6.7,"Comedy",123227,3.6e+07,0.294164482632784,46,199,0.48731317344456,60286,98,1996,0,123711,"no","no"
"1721","Maximum Risk",0.0999999999999996,5.5,"Action",19330,2.5e+07,0.0723367810791225,54,85,0.766074492782881,15179,101,1996,1,19814,"no","no"
"1726","L'amore ha due facce",-0.899999999999999,6.2,"Comedy",14600,4.2e+07,0.0542049934296978,32,78,0.403606470432246,6088,126,1996,0,15084,"no","no"
"1727","Mission: Impossible",0.2,7.2,"Action",379832,8e+07,0.217948569910973,192,457,0.683139810052693,259809,110,1996,1,380316,"no","no"
"1746","Il professore matto",0.3,5.6,"Comedy",107444,5.4e+07,0.181758281812957,60,115,0.660912830776073,71331,95,1996,1,107928,"no","no"
"1750","Sfida finale",-0.5,5.7,"Action",1024,4800000,0.0523854069223573,23,24,0.708885941644562,1069,99,1996,0,1508,"no","no"
"1757","Phenomenon",0,6.4,"Drama",73185,3.2e+07,0.0594040852020738,60,136,0.65192957689123,48027,123,1996,0,73669,"no","no"
"1762","Schegge di paura",-0.300000000000001,7.6,"Crime",181531,3e+07,0.213040058814478,74,312,0.642683295332802,116978,129,1996,0,182015,"no","no"
"1766","Ransom - Il riscatto",-0.100000000000001,6.6,"Action",116052,8e+07,0.0739284114103649,84,182,0.689469348527494,80348,121,1996,0,116536,"no","no"
"1775","The Rock",0,7.4,"Action",306628,7.5e+07,0.13128414799604,129,470,0.710385787595405,218168,136,1996,0,307112,"no","no"
"1780","Schizopolis",0.5,6.9,"Comedy",4658,250000,0.116648106904232,37,56,0.69856087125632,3592,96,1996,1,5142,"no","no"
"1782","Scream",0,7.2,"Horror",278424,1.4e+07,0.199656623187896,264,974,0.611879185968133,170658,111,1996,0,278908,"no","no"
"1785","Set It Off - Farsi notare",-0.9,6.6,"Action",13202,9e+06,0.0967018469656992,32,86,0.553850650299576,7580,123,1996,0,13686,"no","no"
"1786","Sergente Bilko",-0.3,5.8,"Comedy",20683,3.9e+07,0.0702121908365995,27,86,0.69910710067558,14798,93,1996,0,21167,"no","no"
"1794","Sleepers",-0.3,7.5,"Crime",183328,4.4e+07,0.137304105685792,68,293,0.672077992731704,123536,147,1996,0,183812,"no","no"
"1795","Lama tagliente",-0.0999999999999996,8,"Drama",85236,1e+06,0.1040543916628,93,324,0.653733084461036,56038,135,1996,0,85720,"no","no"
"1800","Spia e lascia spiare",0.100000000000001,5.4,"Action",35051,1.8e+07,0.123196448390677,28,93,0.73530322217532,26129,81,1996,1,35535,"no","no"
"1801","Squeeze",-0.8,6,"Crime",-193,5e+05,0.114583333333333,5,5,0.65979381443299,192,102,1997,0,291,"no","no"
"1802","Primo contatto",-0.0999999999999996,7.5,"Action",115595,4.5e+07,0.0715595389211576,166,324,0.671878634378311,77991,111,1996,0,116079,"no","no"
"1810","Striptease",-0.2,4.5,"Comedy",41614,4e+07,0.0653980752405949,57,140,0.651622404864839,27432,115,1996,0,42098,"no","no"
"1816","Swingers",0.5,7.2,"Comedy",73568,2e+05,0.124374263128394,80,278,0.698684708042997,51739,96,1996,1,74052,"no","no"
"1818","Il piacere del sangue",-0.0999999999999996,5.4,"Comedy",12616,1.3e+07,0.0502633889376646,88,83,0.695572519083969,9112,87,1996,0,13100,"no","no"
"1820","Music Graffiti",-0.199999999999999,6.9,"Comedy",60806,2.6e+07,0.0804973072075169,76,230,0.569554576603035,34908,108,1996,0,61290,"no","no"
"1821","La linea sottile tra odio e amore",-0.7,5.5,"Comedy",3763,8e+06,0.0992177850967476,12,13,0.571933129267718,2429,108,1996,0,4247,"no","no"
"1822","L'occhio del male",-0.100000000000001,5.8,"Fantasy",26937,8500000,0.0955979699911739,82,146,0.661099157579957,18128,93,1996,0,27421,"no","no"
"1826","Il momento di uccidere",-0.399999999999999,7.4,"Crime",128105,4e+07,0.143208782553045,80,265,0.631873643935329,81252,149,1996,0,128589,"no","no"
"1828","Tin Cup",0.4,6.4,"Comedy",44901,4.5e+07,0.0407598972056862,57,85,0.677338327641291,30741,135,1996,1,45385,"no","no"
"1831","Mosche da bar",0.2,7.2,"Comedy",12959,1300000,0.0749314317059792,49,72,0.678048054749684,9115,95,1996,1,13443,"no","no"
"1835","Twister",-0.4,6.3,"Action",173373,9.2e+07,0.110519066260693,119,442,0.634728541272425,110352,113,1996,0,173857,"no","no"
"1839","Il ritorno della famiglia Brady",-0.300000000000001,5.6,"Comedy",9330,1.2e+07,0.0598603839441536,30,68,0.583859792133687,5730,90,1996,0,9814,"no","no"
"1848","The Watermelon Woman",-0.0999999999999996,7,"Comedy",982,3e+05,0.296829971181556,31,13,0.473396998635744,694,90,1996,0,1466,"no","no"
"1858","Codice omicidio 187",-0.0999999999999996,6.7,"Drama",21311,2e+07,0.0770784672684805,33,101,0.72681807754072,15841,119,1997,0,21795,"no","no"
"1861","Potere assoluto",-0.2,6.7,"Action",48882,5e+07,0.0644018583042973,78,161,0.697646153222866,34440,121,1997,0,49366,"no","no"
"1866","Hollywood brucia",-0.6,3.5,"Comedy",2829,1e+07,0.0525606469002695,27,89,0.671898581346212,2226,86,1997,0,3313,"no","no"
"1867","Alien - La clonazione",-0.3,6.2,"Action",223924,7.5e+07,0.141382848955409,250,728,0.69044329970411,154941,109,1997,0,224408,"no","no"
"1869","Glitter",-0.9,2,"Drama",20814,2.2e+07,0.085279972518035,75,319,0.5467180016903,11644,104,2001,0,21298,"no","no"
"1874","Anaconda",0.0999999999999996,4.8,"Action",93511,4.5e+07,0.169245981918634,139,311,0.677823288472791,63712,89,1997,1,93995,"no","no"
"1878","L'apostolo",0.2,7.2,"Drama",12721,5e+06,0.0396110056925996,100,164,0.638546005301022,8432,89,1997,1,13205,"no","no"
"1880","The Avengers - Agenti speciali",-0.4,3.8,"Action",39890,6e+07,0.0479026217228464,118,471,0.66131668895824,26700,89,1998,0,40374,"no","no"
"1882","Un genio in pannolino",-1.5,2.3,"Comedy",24296,1.2e+07,0.25963877626244,50,186,0.547417271993543,13565,97,1999,0,24780,"no","no"
"1889","Mai dire ninja",0.3,5.6,"Action",37169,1.8e+07,0.168072610784837,34,82,0.746155684805992,28095,88,1997,1,37653,"no","no"
"1900","Obsession",-0.600000000000001,5.3,"Drama",9354,2.1e+07,0.0697867053220128,48,76,0.490851799146168,4829,96,1998,0,9838,"no","no"
"1902","Blues Brothers - Il mito continua",-0.600000000000001,4.8,"Action",30585,2.8e+07,0.100737100737101,51,217,0.694293347066207,21571,123,1998,0,31069,"no","no"
"1904","Boogie Nights - L'altra Hollywood",0.4,7.9,"Drama",233288,1.5e+07,0.183819455252918,185,605,0.687101107061581,160625,155,1997,1,233772,"no","no"
"1910","Breakdown - La trappola",0.100000000000001,6.9,"Crime",47577,3.6e+07,0.071066137874723,86,268,0.713509914483677,34292,93,1997,1,48061,"no","no"
"1914","Bulworth - Il senatore",0.2,6.8,"Comedy",23950,3e+07,0.0411294887114018,107,234,0.6507735123189,15901,108,1998,1,24434,"no","no"
"1919","In cerca di Amy",0.3,7.2,"Comedy",130253,250000,0.115064922867407,162,514,0.651521757421388,85178,113,1997,1,130737,"no","no"
"1924","Con Air",0,6.9,"Action",270866,7.5e+07,0.148578757481596,133,402,0.706850930532523,191804,115,1997,0,271350,"no","no"
"1925","Ipotesi di complotto",-0.2,6.7,"Action",91703,7.5e+07,0.0687287470572849,86,175,0.663520886892946,61168,135,1997,0,92187,"no","no"
"1926","Contact",0.100000000000001,7.4,"Drama",248604,9e+07,0.128311735061195,173,705,0.669161099691675,166680,150,1997,1,249088,"no","no"
"1928","Cop Land",0.2,7,"Crime",84063,1.5e+07,0.073526816511848,145,242,0.737234910759696,62331,105,1997,1,84547,"no","no"
"1931","Falling Sky",-0.899999999999999,5.7,"Drama",-90,1e+06,0.077720207253886,1,16,0.489847715736041,193,95,1998,0,394,"no","no"
"1936","Dante's Peak - La furia della montagna",-0.3,5.9,"Action",79316,1.16e+08,0.111898335582546,101,315,0.668571428571429,53352,108,1997,0,79800,"no","no"
"1939","Harry a pezzi",0.100000000000001,7.4,"Comedy",41264,2e+07,0.114716106604867,77,136,0.661492766120533,27616,96,1997,1,41748,"no","no"
"1941","Soluzione estrema",-0.100000000000001,6.1,"Action",15161,5e+07,0.0464490674318508,57,83,0.712815596037073,11152,100,1998,0,15645,"no","no"
"1942","L'ombra del diavolo",0,6.2,"Action",57110,9e+07,0.0722856615417073,72,129,0.658384553946592,37919,111,1997,0,57594,"no","no"
"1946","Il dottor Dolittle",-0.2,5.3,"Comedy",89709,71500000,0.231146177932669,78,110,0.62673378200082,56527,85,1998,0,90193,"no","no"
"1948","Double Tap",0.5,5.2,"Action",38,8e+06,0.0188087774294671,6,13,0.611111111111111,319,87,1997,1,522,"no","no"
"1949","Un sogno in fondo al mare",-0.699999999999999,6.9,"Comedy",1206,1e+06,0.0329341317365269,28,30,0.592899408284024,1002,97,1997,0,1690,"no","no"
"1952","L'urlo dell'odio",0,6.9,"Action",66200,3e+07,0.110255245332893,85,208,0.726171195489173,48424,117,1997,0,66684,"no","no"
"1955","La baia di Eva",-0.8,7,"Drama",7977,6e+06,0.0602609727164887,40,214,0.498168065240515,4215,109,1997,0,8461,"no","no"
"1956","Una ragazza sfrenata",-0.7,5.2,"Action",12034,2e+07,0.0551508844953174,48,106,0.53738616392395,6727,101,1997,0,12518,"no","no"
"1958","Face/Off - Due facce di un assassino",0.0999999999999996,7.3,"Action",343005,8e+07,0.169188063844552,152,614,0.692205572813103,237765,138,1997,1,343489,"no","no"
"1960","Felicità Rubata",-0.899999999999999,5.9,"Drama",1186,1e+06,0.04,10,80,0.523952095808383,875,93,1997,0,1670,"no","no"
"1963","Fire Down Below - L'inferno sepolto",-0.2,5.1,"Action",15923,6e+07,0.0720099667774086,47,115,0.733833120009752,12040,105,1997,0,16407,"no","no"
"1965","Flubber - Un professore tra le nuvole",-0.3,5.2,"Comedy",82568,8e+07,0.254535396119876,60,81,0.631182873380533,52421,93,1997,0,83052,"no","no"
"1968","In ricchezza e in povertà",-0.6,5.7,"Comedy",9450,3.5e+07,0.0664668547249647,27,43,0.570968391383129,5672,115,1997,0,9934,"no","no"
"1970","The Game - Nessuna regola",0.0999999999999996,7.8,"Action",336221,5e+07,0.211377567292443,172,642,0.679790914895829,228889,129,1997,1,336705,"no","no"
"1971","Gattaca - La porta dell'universo",0,7.8,"Drama",275254,3.6e+07,0.167264852170638,188,753,0.654773734487086,180546,106,1997,0,275738,"no","no"
"1973","George re della giungla..?",-0.5,5.3,"Action",69752,5.5e+07,0.239524189385763,59,118,0.606839797254969,42622,92,1997,0,70236,"no","no"
"1981","Missione Hamburger",-0.5,5.6,"Comedy",25191,9e+06,0.260900857674084,33,105,0.649386562804284,16673,95,1997,0,25675,"no","no"
"1983","Will Hunting - Genio ribelle",0.100000000000001,8.3,"Drama",836895,1e+07,0.270912511647035,164,899,0.6010981885144,503347,126,1997,1,837379,"no","no"
"1986","Paradiso perduto",0,6.9,"Drama",49971,2.5e+07,0.0728495475511426,81,208,0.562897631552869,28401,111,1998,0,50455,"no","no"
"1989","L'ultimo contratto",0,7.3,"Action",85983,1.5e+07,0.0774091063237368,70,319,0.647958180577561,56027,107,1997,0,86467,"no","no"
"1991","Gummo",-0.2,6.7,"Comedy",30918,1300000,0.208989665897462,53,407,0.634800331189096,19934,89,1997,0,31402,"no","no"
"1992","Inganno ad Atlantic City",-0.9,6,"Crime",415,3500000,0.0278810408921933,3,25,0.598442714126808,538,100,1998,0,899,"no","no"
"1994","Sydney",0.3,7.2,"Crime",39970,3e+06,0.19789402173913,75,167,0.727740149305384,29440,102,1996,1,40454,"no","no"
"2003","Mamma, ho preso il morbillo",-0.399999999999999,4.4,"Action",102041,3.2e+07,0.347982439753409,39,180,0.626539868324799,64236,102,1997,0,102525,"no","no"
"2004","Fast Food",-0.5,4.9,"Comedy",7481,3.5e+07,0.0325403336067815,43,87,0.459133709981168,3657,91,1998,0,7965,"no","no"
"2007","Ricominciare a vivere",-0.800000000000001,5.6,"Drama",23619,3e+07,0.0494716618635927,68,167,0.345517155540804,8328,114,1998,0,24103,"no","no"
"2009","La casa del sì",-0.3,6.5,"Comedy",7026,1500000,0.0470969349613755,44,91,0.534354194407457,4013,85,1997,0,7510,"no","no"
"2013","Hurricane",-0.5,6.1,"Crime",649,5e+05,0.0261538461538462,16,22,0.57369814651368,650,86,1997,0,1133,"no","no"
