"","title","male_vs_female","male_rating","genre","popular","budget","young","critics","reviews","male_vote_prop","male_votes","duration","year","male_gt_female","total_votes","comedy","drama"
"10609","Star Wars: L'ascesa di Skywalker",-0.600000000000001,6.6,"Action",346790,2.75e+08,0.260645813300889,502,7553,0.586960152502059,203836,141,2019,0,347274,"no","no"
"10611","God's Not Dead - Dio non è morto",-2.1,4.2,"Drama",39350,2e+06,0.29742033383915,57,721,0.52939699753979,21088,113,2014,0,39834,"no","no"
"10613","Keep Watching",-0.2,4.3,"Horror",3503,5e+06,0.199737762237762,24,51,0.573865061449712,2288,89,2017,0,3987,"no","no"
"10614","Giù le mani dalle nostre figlie",-0.2,6.1,"Comedy",68557,2.1e+07,0.280007437116524,191,355,0.545313654205472,37649,102,2018,0,69041,"no","no"
"10619","Quarantine L.A.",0.1,2.4,"Horror",36,1200000,0.140243902439024,1,13,0.630769230769231,328,75,2013,1,520,"no","no"
"10637","The Cloverfield Paradox",-0.2,5.5,"Action",92209,4.5e+07,0.232396294804672,247,649,0.669683794892818,62075,102,2018,0,92693,"no","no"
"10649","Un milione di modi per morire nel West",0,6.1,"Comedy",168725,4e+07,0.291513999308676,302,523,0.683887972861964,115720,116,2014,0,169209,"no","no"
"10654","Duri si diventa",-0.2,6,"Comedy",119759,4e+07,0.313374064806229,191,169,0.654732500020791,78727,100,2015,0,120243,"no","no"
"10655","Birdman o (L'imprevedibile virtù dell'ignoranza)",0.399999999999999,7.8,"Comedy",566003,1.8e+07,0.334463906917386,628,1390,0.614146485267976,347906,119,2014,1,566487,"no","no"
"10662","Insospettabili sospetti",-0.300000000000001,6.6,"Comedy",74327,2.5e+07,0.270224915003051,186,168,0.613332263971876,45884,96,2017,0,74811,"no","no"
"10674","Krampus: The Christmas Devil",-0.0999999999999999,1.6,"Action",1113,7525000,0.173,26,38,0.626174076393237,1000,82,2014,0,1597,"no","no"
"10679","Life After Beth - L'amore ad ogni costo",-0.100000000000001,5.6,"Comedy",19045,2400000,0.204677854099644,171,74,0.588919043473808,11501,89,2014,0,19529,"no","no"
"10683","Quel fantastico peggior anno della mia vita",0,7.7,"Comedy",120174,8e+06,0.373492424567578,316,225,0.579298513152878,69897,105,2015,0,120658,"no","no"
"10685","Hell or High Water",0.199999999999999,7.6,"Action",197809,1.2e+07,0.276039598024595,320,446,0.672948616441327,133441,102,2016,1,198293,"no","no"
"10687","Whiplash",0.199999999999999,8.5,"Drama",690248,3300000,0.372586525046132,583,1213,0.57901183092719,399942,106,2014,1,690732,"no","no"
"10688","Colpa delle stelle",-0.2,7.6,"Drama",336626,1.2e+07,0.402949337032788,336,692,0.444756904274569,149932,126,2014,0,337110,"no","no"
"10690","Freedom",-0.9,6.3,"Drama",1221,14500000,0.158424908424908,15,35,0.640469208211144,1092,94,2014,0,1705,"no","no"
"10707","A Cry from Within",-0.5,3.5,"Horror",-198,450000,0.0945945945945946,5,4,0.517482517482518,148,96,2014,0,286,"no","no"
"10712","A Madea Christmas",-2.1,4.1,"Comedy",5250,2.5e+07,0.238444607483492,26,32,0.475409836065574,2726,100,2013,0,5734,"no","no"
"10720","Bleeding Hearts",0.3,3.8,"Horror",-306,1200000,0.0970149253731343,8,4,0.752808988764045,134,100,2015,1,178,"no","no"
"10739","Ted 2",0.3,6.3,"Comedy",179840,6.8e+07,0.35330234791706,303,258,0.646691510836051,116614,115,2015,1,180324,"no","no"
"10740","Un tuffo nel passato 2",0,5,"Comedy",35849,1.4e+07,0.256329351664037,113,112,0.732722318553381,26622,93,2015,0,36333,"no","no"
"10744","Ben-Hur",-0.600000000000001,5.6,"Action",40375,1e+08,0.198432721712538,229,265,0.640250617978903,26160,123,2016,0,40859,"no","no"
"10763","Time Lapse",0,6.5,"Horror",40010,5e+06,0.200897627698226,99,182,0.693287894502889,28074,104,2014,0,40494,"no","no"
"10782","The Boss",-0.6,5.2,"Comedy",41588,2.9e+07,0.221550566110152,179,157,0.495436394751854,20844,99,2016,0,42072,"no","no"
"10783","Game Night - Indovina chi muore stasera?",-0.0999999999999996,6.9,"Action",197866,3.7e+07,0.289953883558147,300,589,0.582692210738593,115577,100,2018,0,198350,"no","no"
"10796","Blackhat",0.2,5.4,"Action",50735,7e+07,0.182949902657051,290,265,0.712020929733107,36469,133,2015,1,51219,"no","no"
"10804","La risposta è nelle stelle",-0.399999999999999,6.9,"Drama",74586,3.4e+07,0.323806717737183,125,152,0.361689090182496,27152,123,2015,0,75070,"no","no"
"10825","The One I Love",-0.0999999999999996,7,"Comedy",33960,1e+05,0.21862910425553,115,99,0.585355940076646,20162,91,2014,0,34444,"no","no"
"10833","La bella e la bestia",-0.699999999999999,6.9,"Family",263493,1.6e+08,0.311386692755846,522,1135,0.429798808229505,113457,129,2017,0,263977,"no","no"
"10839","Battle for Skyark",-0.4,2.7,"Action",1315,7e+06,0.159362549800797,11,29,0.697609783212896,1255,88,2017,0,1799,"no","no"
